address,content_count,in,out,peers_connected,peers_good,peers_total,time
1Nepe91gkzrRbPXE1LKaAQm42ERoiAUhhu,1,2297638,0,0,0,0,1457961242.39
1Lod6THUt6v6ebZdBF2voYMk2QfvLvPm4q,1,14904240,0,0,0,0,1457961242.39
1HeLLo4uzjaLetFx6NH3PMwFP3qbRbTf3D,1,893763,446322,0,0,0,1457961242.39
1KWy8mTjFvviLWwkmUWUZZosxgpYEK8rUq,4,1122098,57029,0,0,0,1457961242.39
1MgHVPCE1ve6QfKrgsqCURzRj72HrRWioz,59,890457,192095,0,0,0,1457961242.39
1AzAFRKvba4f3yMqYCaHhW9G5rnDFrhnAn,1,29456,3087,0,0,0,1457961242.39
1Lzu3HBELK2Mp6qBmrYxum1zwxpTpDAnZA,1,90029,0,0,0,0,1457961242.39
1KQ9re46CXrBZhsHLnihgmPjBBr2b8bNKC,1,2122333,0,0,0,0,1457961242.39
1BrgXu4E6jzdtvwec9oEU5Fir7355yeJF3,10,417196,0,0,0,0,1457961242.39
15cFtCNHwoSd9TJhgVnncTgETzJceKYmeK,1,1126,0,0,0,0,1457961242.39
16kjT7s5mUM83uJ6cUKmkEAswJye1tEd3C,1,364189,0,0,0,0,1457961242.39
17Vc4FxokFp67xxqKXR9AcfYBMjzFwgNKF,2,1461627,0,0,0,0,1457961242.39
1f7FYxZWSZ5YG7Nd8sGsHcWEQgvdnVvQF,1,237335,379302,0,0,0,1457961242.39
15duv81kQ7PvRc7KfVD9k3tYHU1KBMo7uW,1,35348,0,0,0,0,1457961242.39
16ybaY9D2XhhCk5GqjpAmBXJ7DXcsMtrkH,4,405039,0,0,0,0,1457961242.39
1NXZEk3SupketTvbRxaXCERa1E9Es9hi4a,1,6148938,0,0,0,0,1457961242.39
1Kr2j7wsM8NpQYCjgR6ccxHLuQmjdnVqD,8,388906,0,0,0,0,1457961242.39
13nELCDhPs8rT4EqF1HRGvfPPRCGELKRqD,11,3592952,0,0,0,0,1457961242.39
1ZeroeuDnL2jNS6t1epQa1SPvC91KG8ER,107,1477211,3433,0,0,0,1457961242.39
1KFARPHaH3JoXeUcjwMx3vFM5q7i1zQGav,1,20091,0,0,0,0,1457961242.39
13RhXecmBH34X44Nohf2qMogZKH7KzoG78,6,405843,0,0,0,0,1457961242.39
1DXDDPLAvZNrEg4wzsX8CJqAzZvQ9G1Rvj,4,379966,0,0,0,0,1457961242.39
1TaLk3zM7ZRskJvrh3ZNCDVGXvkJusPKQ,329,234616,0,0,0,0,1457961242.39
1DZpN7BRvJ4x6XrkJjQfGv1LRShsWci6Pc,6,429428,0,0,0,0,1457961242.39
1FMeSorqAS8Kq5E5XJpGGBJ8Qb2CxXhaYb,10,375225,898661,0,0,0,1457961242.39
1BCXs4U5Vjh5pE53iZ81zKVNfQRro8ZNdT,1,1133208,0,0,0,0,1457961242.39
1NpCZF573u5vW6iUy7xQzFsv7zCYJysfiK,1,5565,0,0,0,0,1457961242.39
1Apr5ba6u9Nz6eFASmFrefGvyBKkM76QgE,86,22923858,105353725,0,0,0,1457961242.39
1KdF3z61jUqqcfLnufJJs8MbuHwfQwjS89,5,416191,0,0,0,0,1457961242.39
16rELcbeZ7GY7X8teezU2EVSdpQpc7WPjF,1,707187,0,0,0,0,1457961242.39
1CpGZyfbUBBV5uXUoY653wVoqZFRojbEzd,16,456639,0,0,0,0,1457961242.39
1HzKesHsWG3N96CfW9eC2aL9VKY7EDm2Zj,11,8400398,123532,0,0,0,1457961242.39
